ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
41,Alain Andr Louis Edmond Bernard,M,25,196,90,France,FRA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,Gold
42,Alain Andr Louis Edmond Bernard,M,29,196,90,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
43,Jean-Christophe Bette,M,22,186,72,France,FRA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
44,Thomas Bimis,M,29,169,69,Greece,GRE,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Synchronized Springboard,Gold
45,Pter Biros,M,24,196,102,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Gold
46,Pter Biros,M,28,196,102,Hungary,HUN,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Gold
47,"Kimberly A. ""Kim"" Black",F,21,168,60,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
48,Henrik Blakskjr,M,29,194,90,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Three Person Keelboat,Gold
49,Pernille Blume,F,22,170,58,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,Gold
50,Aleksandr Viktorovich Bogdanovich,M,26,191,97,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
51,Andrey Viktorovich Bogdanovich,M,20,193,87,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
52,Hamish Byron Bond,M,26,189,89,New Zealand,NZL,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Pairs,Gold
53,Miho Bokovi,M,29,196,96,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
54,Silvia Bosurgi,F,25,164,59,Italy,ITA,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Gold
55,David Alasdair Boudia,M,23,175,73,United States,USA,2012 Summer,2012,Summer,London,Diving,Diving Men's Platform,Gold
56,Marit Bouwmeester,F,28,177,68,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's One Person Dinghy,Gold
57,Sebastian Brendel,M,24,192,92,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
58,Sebastian Brendel,M,28,192,92,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
59,Sebastian Brendel,M,28,192,92,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
60,Scott Michael Brennan,M,25,193,89,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,Gold
61,Matthew Brittain,M,25,186,70,South Africa,RSA,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
62,Olga Aleksandrovna Brusnikina,F,21,169,55,Russia,RUS,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
63,Olga Aleksandrovna Brusnikina,F,21,169,55,Russia,RUS,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
64,Olga Aleksandrovna Brusnikina,F,25,169,55,Russia,RUS,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
65,Ivan Buljubai,M,24,198,108,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
66,Peter Burling,M,25,186,82,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff,Gold
67,Tom Burton,M,26,180,81,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,Gold
68,Andro Bulje,M,26,200,115,Croatia,CRO,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
69,James Andrew Byrnes,M,25,200,93,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
70,"Frederike Jacobie ""Mieke"" Cabout",F,22,182,70,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
71,Erin Jane Cafaro (-McKenzie),F,25,175,73,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
72,Erin Jane Cafaro (-McKenzie),F,29,175,73,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
73,David Cal Figueroa,M,21,183,86,Spain,ESP,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
