weventID,Sport,Event
531,Sailing,Sailing Men's Two Person Keelboat
532,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
533,Rowing,Rowing Men's Quadruple Sculls
534,Rowing,Rowing Men's Coxed Eights
535,Rowing,Rowing Men's Coxed Eights
536,Diving,Diving Men's Synchronized Platform
537,Rowing,Rowing Men's Coxless Fours
538,Rowing,Rowing Men's Coxed Eights
539,Swimming,Swimming Women's 4 x 100 metres Medley Relay
540,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
541,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
542,Rowing,Rowing Women's Coxed Eights
543,Rowing,Rowing Women's Quadruple Sculls
544,Rowing,Rowing Men's Coxed Eights
545,Canoeing,"Canoeing Men's Kayak Singles, Slalom"
546,Swimming,Swimming Women's 200 metres Freestyle
547,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
548,Swimming,Swimming Women's 4 x 100 metres Medley Relay
549,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
550,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
551,Rowing,Rowing Men's Quadruple Sculls
552,Rowing,Rowing Men's Quadruple Sculls
553,Swimming,Swimming Men's 100 metres Butterfly
554,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
555,Rowing,Rowing Men's Quadruple Sculls
556,Rowing,Rowing Men's Quadruple Sculls
557,Rowing,Rowing Men's Lightweight Coxless Fours
558,Sailing,Sailing Men's One Person Heavyweight Dinghy
559,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
560,Water Polo,Water Polo Women's Water Polo
561,Water Polo,Water Polo Women's Water Polo
562,Swimming,Swimming Men's 4 x 100 metres Medley Relay
563,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
564,Swimming,Swimming Women's 4 x 100 metres Medley Relay
565,Diving,Diving Women's Springboard
566,Diving,Diving Women's Synchronized Springboard
567,Swimming,Swimming Women's 800 metres Freestyle
568,Swimming,Swimming Men's 4 x 100 metres Medley Relay
569,Synchronized Swimming,Synchronized Swimming Women's Team
570,Synchronized Swimming,Synchronized Swimming Women's Team
571,Rowing,Rowing Women's Coxed Eights
572,Synchronized Swimming,Synchronized Swimming Women's Team
573,Synchronized Swimming,Synchronized Swimming Women's Team
574,Synchronized Swimming,Synchronized Swimming Women's Team
575,Sailing,Sailing Men's Windsurfer
576,Water Polo,Water Polo Women's Water Polo
577,Rowing,Rowing Women's Coxed Eights
578,Rowing,Rowing Men's Double Sculls
579,Rowing,Rowing Men's Double Sculls
580,Diving,Diving Men's Synchronized Springboard
581,Swimming,Swimming Women's 100 metres Butterfly
582,Sailing,Sailing Men's One Person Dinghy
583,Water Polo,Water Polo Women's Water Polo
584,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
585,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
586,Rowing,Rowing Men's Lightweight Coxless Fours
587,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
588,Swimming,Swimming Women's 4 x 100 metres Medley Relay
589,Rowing,Rowing Women's Coxed Eights
590,Swimming,Swimming Women's 200 metres Breaststroke
591,Swimming,Swimming Women's 200 metres Breaststroke
592,Swimming,Swimming Women's 4 x 100 metres Medley Relay
593,Rowing,Rowing Men's Double Sculls
594,Rowing,Rowing Women's Coxless Pairs
595,Swimming,Swimming Women's 50 metres Freestyle
596,Swimming,Swimming Women's 100 metres Freestyle
597,Water Polo,Water Polo Women's Water Polo
598,Water Polo,Water Polo Women's Water Polo
599,Water Polo,Water Polo Men's Water Polo
600,Water Polo,Water Polo Men's Water Polo
601,Water Polo,Water Polo Men's Water Polo
602,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
603,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres"
604,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
605,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
606,Sailing,Sailing Women's Two Person Dinghy
607,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
608,Water Polo,Water Polo Men's Water Polo
609,Rowing,Rowing Men's Double Sculls
610,Swimming,Swimming Men's 400 metres Freestyle
611,Swimming,"Swimming Men's 1,500 metres Freestyle"
612,Swimming,Swimming Men's 200 metres Freestyle
613,Sailing,Sailing Women's One Person Dinghy
614,Rowing,Rowing Women's Coxed Eights
615,Rowing,Rowing Women's Coxless Pairs
616,Rowing,Rowing Women's Coxed Eights
617,Rowing,Rowing Men's Quadruple Sculls
618,Rowing,Rowing Men's Lightweight Double Sculls
619,Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
620,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
621,Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
622,Water Polo,Water Polo Men's Water Polo
623,Water Polo,Water Polo Men's Water Polo
624,Water Polo,Water Polo Men's Water Polo
625,Rowing,Rowing Women's Lightweight Double Sculls
626,Rowing,Rowing Women's Quadruple Sculls
627,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
628,Swimming,Swimming Women's 4 x 100 metres Medley Relay
629,Rowing,Rowing Women's Quadruple Sculls
630,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
631,Swimming,Swimming Men's 4 x 100 metres Medley Relay
632,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
633,Swimming,Swimming Women's 100 metres Butterfly
634,Swimming,Swimming Women's 4 x 100 metres Medley Relay
635,Rowing,Rowing Men's Lightweight Coxless Fours
636,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
637,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
638,Swimming,Swimming Women's 4 x 100 metres Medley Relay
639,Swimming,Swimming Men's 200 metres Freestyle
640,Swimming,Swimming Men's 400 metres Freestyle
641,Diving,Diving Men's Platform
642,Diving,Diving Men's Synchronized Platform
643,Synchronized Swimming,Synchronized Swimming Women's Team
644,Synchronized Swimming,Synchronized Swimming Women's Team
645,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres"
646,Sailing,Sailing Women's Three Person Keelboat
647,Water Polo,Water Polo Women's Water Polo
648,Rowing,Rowing Men's Lightweight Coxless Fours
649,Rowing,Rowing Men's Coxed Eights
650,Rowing,Rowing Men's Coxless Fours
651,Rowing,Rowing Men's Single Sculls
652,Sailing,Sailing Men's Skiff
653,Sailing,Sailing Women's One Person Dinghy
654,Sailing,Sailing Men's Two Person Dinghy
655,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
656,Water Polo,Water Polo Women's Water Polo
657,Water Polo,Water Polo Women's Water Polo
658,Swimming,Swimming Men's 100 metres Freestyle
659,Swimming,Swimming Men's 200 metres Freestyle
660,Swimming,Swimming Men's 100 metres Freestyle
661,Swimming,Swimming Men's 100 metres Breaststroke
662,Swimming,Swimming Men's 10 kilometres Open Water
663,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
664,Swimming,Swimming Women's 4 x 100 metres Medley Relay
665,Canoeing,"Canoeing Men's Kayak Singles, 500 metres"
666,Sailing,Sailing Men's Windsurfer
667,Sailing,Sailing Men's Windsurfer
668,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
669,Swimming,Swimming Women's 10 kilometres Open Water
670,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
671,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
672,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
673,Water Polo,Water Polo Men's Water Polo
674,Water Polo,Water Polo Men's Water Polo
675,Water Polo,Water Polo Men's Water Polo
676,Water Polo,Water Polo Men's Water Polo
677,Water Polo,Water Polo Men's Water Polo
678,Water Polo,Water Polo Men's Water Polo
679,Synchronized Swimming,Synchronized Swimming Women's Team
680,Synchronized Swimming,Synchronized Swimming Women's Team
681,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
682,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
683,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
684,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
685,Rowing,Rowing Men's Double Sculls
686,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
687,Swimming,Swimming Women's 100 metres Butterfly
688,Swimming,Swimming Women's 4 x 100 metres Medley Relay
689,Swimming,Swimming Women's 4 x 100 metres Medley Relay
690,Rowing,Rowing Men's Coxed Eights
691,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
692,Rowing,Rowing Men's Single Sculls
693,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
694,Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
695,Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
696,Swimming,Swimming Men's 4 x 100 metres Medley Relay
697,Swimming,Swimming Men's 4 x 100 metres Medley Relay
698,Canoeing,"Canoeing Men's Kayak Singles, 500 metres"
699,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
700,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres"
701,Diving,Diving Men's Synchronized Springboard
702,Sailing,Sailing Mixed Skiff
703,Rowing,Rowing Men's Quadruple Sculls
704,Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
705,Sailing,Sailing Women's Three Person Keelboat
706,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
707,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
708,Swimming,Swimming Men's 4 x 100 metres Medley Relay
709,Water Polo,Water Polo Women's Water Polo
710,Swimming,Swimming Men's 10 kilometres Open Water
711,Rowing,Rowing Men's Quadruple Sculls
712,Water Polo,Water Polo Women's Water Polo
713,Rowing,Rowing Men's Coxed Eights
714,Rowing,Rowing Women's Coxed Eights
715,Swimming,Swimming Women's 4 x 100 metres Medley Relay
716,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres"
717,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
718,Rowing,Rowing Men's Coxed Eights
719,Diving,Diving Women's Platform
720,Rowing,Rowing Men's Coxless Fours
721,Sailing,Sailing Men's Two Person Dinghy
722,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
723,Sailing,Sailing Women's Three Person Keelboat
724,Water Polo,Water Polo Women's Water Polo
725,Water Polo,Water Polo Women's Water Polo
726,Swimming,Swimming Women's 4 x 100 metres Medley Relay
727,Diving,Diving Women's Synchronized Springboard
728,Diving,Diving Women's Springboard
729,Diving,Diving Women's Synchronized Springboard
730,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
731,Rowing,Rowing Women's Quadruple Sculls
732,Diving,Diving Men's Synchronized Springboard
733,Diving,Diving Men's Springboard
734,Diving,Diving Men's Synchronized Springboard
735,Sailing,Sailing Women's One Person Dinghy
736,Diving,Diving Men's Synchronized Platform
737,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres"
738,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres"
739,Synchronized Swimming,Synchronized Swimming Women's Duet
740,Synchronized Swimming,Synchronized Swimming Women's Team
741,Synchronized Swimming,Synchronized Swimming Women's Duet
742,Synchronized Swimming,Synchronized Swimming Women's Team
743,Sailing,Sailing Women's Windsurfer
744,Diving,Diving Men's Springboard
745,Water Polo,Water Polo Women's Water Polo
