209,"Matthew ""Matt"" Grevers",M,27,203,105,Gold,Swimming Men's 4 x 100 metres Medley Relay,USA,2012 Summer
234,Simone Hankin,F,27,182,80,Gold,Water Polo Women's Water Polo,AUS,2000 Summer
235,"Thomas G. ""Tommy"" Hannan",M,20,188,91,Gold,Swimming Men's 4 x 100 metres Medley Relay,USA,2000 Summer
236,Brendan Joseph Hansen,M,22,183,85,Gold,Swimming Men's 4 x 100 metres Medley Relay,USA,2004 Summer
237,Brendan Joseph Hansen,M,26,183,85,Gold,Swimming Men's 4 x 100 metres Medley Relay,USA,2008 Summer
238,"Joseph ""Joey"" Hansen",M,24,198,97,Gold,Rowing Men's Coxed Eights,USA,2004 Summer
239,Brooke Louise Hanson (-Clarke),F,26,175,67,Gold,Swimming Women's 4 x 100 metres Medley Relay,AUS,2004 Summer
240,Adrien Hardy,M,26,197,87,Gold,Rowing Men's Double Sculls,FRA,2004 Summer
241,Jessica Adele Hardy (-Meichtry),F,25,180,70,Gold,Swimming Women's 4 x 100 metres Medley Relay,USA,2012 Summer
242,He Chong,M,21,169,69,Gold,Diving Men's Springboard,CHN,2008 Summer
243,He Zi,F,21,159,51,Gold,Diving Women's Synchronized Springboard,CHN,2012 Summer
244,"Frederike Johanna Maria ""Femke"" Heemskerk",F,20,180,68,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,NED,2008 Summer
246,Jodie Clare Henry,F,20,176,63,Gold,Swimming Women's 100 metres Freestyle,AUS,2004 Summer
247,Jodie Clare Henry,F,20,176,63,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,2004 Summer
248,Jodie Clare Henry,F,20,176,63,Gold,Swimming Women's 4 x 100 metres Medley Relay,AUS,2004 Summer
249,Yvette Higgins,F,22,173,73,Gold,Water Polo Women's Water Polo,AUS,2000 Summer
250,"Samantha ""Sami"" Hill",F,24,183,89,Gold,Water Polo Women's Water Polo,USA,2016 Summer
251,Yves Hocd,M,27,181,70,Gold,Rowing Men's Lightweight Coxless Fours,FRA,2000 Summer
